Co2 排放量,人口总数集,GDP,记录数,互联网使用率,人口 0-14,人口 15-64,人口 65+,人口总数,人均医疗费用,入境旅游,出境旅游,出生率,办税小时数,区域,医疗费用 % Gdp,国家/地区,城市人口,女性预期寿命,年份,开业天数,手机使用率,新生儿死亡率,男性预期寿命,经商便利度,能源使用,营业税税率,贷款利率
87931,1,,1,.01,.342,.619,.039,,60,,,.02,,非洲,.04,阿尔及利亚,.599,71,2000/12/1,,0,.034,67,,26998,,.1
9542,1,,1,0,.476,.499,.025,,22,,,.05,,非洲,.03,安哥拉,.324,47,2000/12/1,,0,.128,44,,7499,,1.032
1617,1,,1,0,.454,.517,.029,,15,,,.043,,非洲,.04,贝宁,.383,57,2000/12/1,,.01,.09,53,,1983,,
4276,.999,,1,.03,.383,.587,.029,,152,,,.027,,非洲,.05,博茨瓦纳,.532,52,2000/12/1,,.13,.054,49,,1836,,.155
1041,1.001,,1,0,.468,.505,.028,,12,,,.046,,非洲,.05,布基纳法索,.178,52,2000/12/1,,0,.096,49,,,,
301,1,,1,0,.49,.481,.029,,7,,,.042,,非洲,.06,布隆迪,.082,49,2000/12/1,,0,.092,47,,,,.158
3432,1,,1,0,.453,.513,.034,,26,,,.041,,非洲,.04,喀麦隆,.455,53,2000/12/1,,.01,.093,51,,6310,,.22
268,1,,1,0,.423,.537,.04,,11,,,.039,,非洲,.04,中非共和国,.376,45,2000/12/1,,0,.113,42,,,,.22
176,1,,1,0,.49,.482,.028,,10,,,.051,,非洲,.06,乍得,.216,48,2000/12/1,,0,.106,46,,,,.22
84,1,,1,0,.415,.554,.031,,13,,,.039,,非洲,.04,科摩罗,.281,59,2000/12/1,,,.073,56,,,,.12
1646,.999,,1,0,.464,.507,.028,,14,,,.048,,非洲,.05,刚果（金）,.351,48,2000/12/1,,0,.115,45,,16679,,
1049,1,,1,0,.419,.545,.036,,22,,,.039,,非洲,.02,刚果（布）,.587,53,2000/12/1,,.02,.077,51,,814,,.22
6791,1,,1,0,.421,.55,.029,,42,,,.038,,非洲,.07,科特迪瓦,.435,47,2000/12/1,,.03,.1,46,,6734,,
403,1,,1,0,.414,.556,.03,,44,,,.03,,非洲,.06,吉布提,.765,59,2000/12/1,,0,.08,55,,,,
141326,.999,,1,.01,.354,.592,.053,,79,,,.025,,非洲,.05,埃及,.428,71,2000/12/1,,.02,.036,66,,40658,,.132
455,1,,1,0,.426,.537,.037,,57,,,.04,,非洲,.02,赤道几内亚,.388,49,2000/12/1,,.01,.099,46,,,,.22
609,1,,1,0,.47,.512,.018,,7,,,.04,,非洲,.05,厄立特里亚,.176,58,2000/12/1,,,.058,54,,708,,
5831,1,,1,0,.466,.503,.031,,5,,,.044,,非洲,.04,埃塞俄比亚,.147,53,2000/12/1,,0,.09,51,,25242,,.109
